Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2021 KW2),2021-May-23 19:52 ± < 00:01,1.66 | 0.00428,1.65 | 0.00425,6.67,6.58,27.3,9.3 m -   21 m,bK21K02W
(2021 KO),2021-May-23 21:50 ±    00:17,12.40 | 0.03185,12.22 | 0.03141,7.99,7.98,26.3,14 m -   32 m,bK21K00O
(2021 JJ7),2021-May-24 13:12 ± < 00:01,5.77 | 0.01481,5.76 | 0.01480,11.41,11.4,24.4,35 m -   79 m,bK21J07J
(2021 KL),2021-May-24 14:11 ±    00:04,2.88 | 0.00741,2.86 | 0.00736,11.56,11.53,27.4,9.0 m -   20 m,bK21K00L
(2021 FN4),2021-May-24 14:18 ± < 00:01,6.04 | 0.01552,6.04 | 0.01552,8.27,8.25,23.1,64 m -  140 m,bK21F04N
(2021 HD3),2021-May-25 03:37 ± < 00:01,12.11 | 0.03112,12.10 | 0.03109,7.94,7.93,24.5,34 m -   76 m,bK21H03D
(2013 VO11),2021-May-25 09:26 ± 7_17:11,3.44 | 0.00884,3.09 | 0.00795,10.18,10.15,28.3,5.8 m -   13 m,bK13V11O
(2021 LN),2021-May-25 14:34 ±    00:03,5.77 | 0.01484,5.74 | 0.01474,11.05,11.03,23.8,45 m -  100 m,bK21L00N
(2021 JG1),2021-May-26 14:25 ± < 00:01,2.20 | 0.00564,2.19 | 0.00564,9.15,9.1,24.8,30 m -   66 m,bK21J01G
(2021 JN7),2021-May-26 14:54 ± < 00:01,18.83 | 0.04838,18.58 | 0.04775,7.41,7.4,25.1,25 m -   56 m,bK21J07N
(2021 KP),2021-May-27 01:02 ± < 00:01,1.59 | 0.00408,1.58 | 0.00407,11.11,11.06,26.1,16 m -   36 m,bK21K00P
(2021 JF1),2021-May-27 01:11 ± < 00:01,13.71 | 0.03522,13.61 | 0.03497,17.31,17.3,22.3,94 m -  210 m,bK21J01F
(2021 LL15),2021-May-27 12:12 ±    02:57,4.04 | 0.01038,4.00 | 0.01027,10.37,10.34,26.5,14 m -   30 m,bK21L15L
(2021 LV),2021-May-27 13:20 ±    00:03,0.73 | 0.00188,0.73 | 0.00187,14.89,14.79,27.9,6.9 m -   15 m,bK21L00V
(2021 KR),2021-May-27 14:09 ±    02:04,11.78 | 0.03028,11.46 | 0.02944,8.75,8.74,27.6,8.2 m -   18 m,bK21K00R
(2021 JX2),2021-May-27 16:52 ± < 00:01,5.67 | 0.01457,5.66 | 0.01455,3,2.94,26.9,11 m -   25 m,bK21J02X
(2021 KA1),2021-May-28 01:17 ± < 00:01,13.34 | 0.03428,13.25 | 0.03406,8.98,8.97,26.1,16 m -   36 m,bK21K01A
(2021 KO1),2021-May-28 03:29 ± < 00:01,7.79 | 0.02002,7.72 | 0.01984,13.87,13.86,25.3,23 m -   52 m,bK21K01O
(2021 JP3),2021-May-28 13:12 ± < 00:01,11.49 | 0.02954,11.48 | 0.02949,7.05,7.04,26,17 m -   37 m,bK21J03P
(2021 JN6),2021-May-28 17:40 ± < 00:01,13.65 | 0.03509,13.60 | 0.03494,7.12,7.11,26.3,15 m -   33 m,bK21J06N
(2021 KQ),2021-May-29 05:44 ± < 00:01,8.04 | 0.02065,7.96 | 0.02047,11.82,11.81,26.1,16 m -   37 m,bK21K00Q
(2003 LW2),2021-May-29 07:00 ± < 00:01,1.07 | 0.00275,1.07 | 0.00275,7.92,7.8,25.8,18 m -   41 m,bK03L02W
(2021 LC),2021-May-29 11:20 ± < 00:01,9.04 | 0.02324,9.03 | 0.02321,4.21,4.19,26,17 m -   37 m,bK21L00C
(2021 KX2),2021-May-29 13:24 ± < 00:01,17.81 | 0.04577,17.71 | 0.04551,14.48,14.47,24.6,33 m -   73 m,bK21K02X
(2021 LQ),2021-May-29 15:54 ± < 00:01,8.05 | 0.02067,8.01 | 0.02058,24.63,24.63,24.5,33 m -   75 m,bK21L00Q
(2021 KM1),2021-May-30 03:58 ± < 00:01,4.60 | 0.01182,4.58 | 0.01177,8.15,8.12,26.1,16 m -   35 m,bK21K01M
(2021 KO2),2021-May-30 04:01 ± < 00:01,0.96 | 0.00248,0.96 | 0.00247,15,14.93,28,6.6 m -   15 m,bK21K02O
(2021 LB1),2021-May-30 12:19 ± < 00:01,4.83 | 0.01241,4.78 | 0.01228,7.88,7.86,27.4,8.9 m -   20 m,bK21L01B
(2021 KN2),2021-May-31 02:14 ± < 00:01,0.38 | 0.00097,0.38 | 0.00097,9.82,9.53,28.6,5.0 m -   11 m,bK21K02N
(2021 KS),2021-May-31 02:55 ± < 00:01,15.47 | 0.03976,15.45 | 0.03969,6.04,6.03,26.4,14 m -   31 m,bK21K00S
(2021 KQ2),2021-May-31 05:43 ± < 00:01,0.46 | 0.00119,0.46 | 0.00118,3.15,2.33,30,2.7 m -  6.1 m,bK21K02Q
(2021 KT1),2021-Jun-01 14:24 ± < 00:01,18.86 | 0.04846,18.86 | 0.04846,18.11,18.11,21.4,140 m -  310 m,bK21K01T
(2018 LB),2021-Jun-01 17:05 ±    19:12,2.90 | 0.00746,0.91 | 0.00234,7.7,7.65,26,17 m -   38 m,bK18L00B
(2021 LA1),2021-Jun-01 18:24 ± < 00:01,17.81 | 0.04576,17.70 | 0.04548,7.53,7.53,25.2,24 m -   54 m,bK21L01A
(2021 LL1),2021-Jun-01 18:59 ± < 00:01,3.22 | 0.00826,3.20 | 0.00823,6.67,6.62,26.7,12 m -   27 m,bK21L01L
(2021 KT2),2021-Jun-01 22:44 ±    00:02,0.76 | 0.00195,0.75 | 0.00194,8.41,8.24,28.4,5.6 m -   12 m,bK21K02T
(2021 JW6),2021-Jun-02 02:04 ± < 00:01,8.09 | 0.02079,8.07 | 0.02075,5.44,5.42,26.1,16 m -   35 m,bK21J06W
(2021 KE1),2021-Jun-02 23:20 ± < 00:01,15.08 | 0.03875,14.96 | 0.03845,6.33,6.32,26.6,12 m -   28 m,bK21K01E
(2021 KN1),2021-Jun-03 01:12 ± < 00:01,5.97 | 0.01535,5.97 | 0.01534,13.34,13.33,24.5,34 m -   75 m,bK21K01N
(2021 LE),2021-Jun-03 21:32 ±    00:02,12.57 | 0.03231,12.52 | 0.03217,8.96,8.96,25.3,24 m -   53 m,bK21L00E
(2021 LX1),2021-Jun-04 04:31 ±    00:03,0.42 | 0.00107,0.41 | 0.00106,17.36,17.22,27.1,10 m -   23 m,bK21L01X
(2021 LY1),2021-Jun-04 04:33 ± < 00:01,1.06 | 0.00271,1.05 | 0.00271,11.61,11.52,28.2,6.2 m -   14 m,bK21L01Y
(2021 KF2),2021-Jun-05 08:29 ±    00:26,13.07 | 0.03359,12.68 | 0.03259,11.19,11.19,22.9,69 m -  150 m,bK21K02F
(2021 LC1),2021-Jun-05 12:28 ± < 00:01,2.97 | 0.00763,2.97 | 0.00763,15.33,15.31,26.5,13 m -   29 m,bK21L01C
(2021 LN2),2021-Jun-06 03:36 ± < 00:01,9.96 | 0.02559,9.92 | 0.02549,14.85,14.84,25.9,17 m -   39 m,bK21L02N
(2021 LW3),2021-Jun-06 11:49 ± < 00:01,6.63 | 0.01702,6.61 | 0.01697,10.42,10.41,23.1,64 m -  140 m,bK21L03W
(2021 LK),2021-Jun-06 14:57 ± < 00:01,3.04 | 0.00781,3.04 | 0.00780,6.99,6.94,26.8,12 m -   27 m,bK21L00K
(2021 LT2),2021-Jun-07 00:49 ± < 00:01,9.59 | 0.02464,9.56 | 0.02457,10.17,10.16,26.3,15 m -   33 m,bK21L02T
(2021 LH2),2021-Jun-07 11:08 ± < 00:01,18.22 | 0.04683,18.18 | 0.04672,4.76,4.75,26.1,16 m -   36 m,bK21L02H
(2021 KG6),2021-Jun-08 12:17 ± < 00:01,17.94 | 0.04609,17.84 | 0.04584,8.37,8.36,25,27 m -   61 m,bK21K06G
(2021 LC3),2021-Jun-09 08:55 ± < 00:01,1.86 | 0.00477,1.85 | 0.00476,10.49,10.44,26.5,13 m -   30 m,bK21L03C
(2021 LK6),2021-Jun-09 17:22 ± < 00:01,1.95 | 0.00501,1.94 | 0.00499,12.45,12.41,28.4,5.6 m -   12 m,bK21L06K
(2021 LJ6),2021-Jun-09 20:19 ±    00:03,3.22 | 0.00826,3.18 | 0.00816,17.07,17.06,25.9,17 m -   39 m,bK21L06J
(2021 LU5),2021-Jun-10 02:21 ±    00:10,16.01 | 0.04114,15.70 | 0.04034,8.67,8.66,24.3,38 m -   84 m,bK21L05U
(2021 LC2),2021-Jun-10 09:25 ± < 00:01,13.10 | 0.03366,12.97 | 0.03334,21.76,21.76,24.3,38 m -   84 m,bK21L02C
(2021 LS2),2021-Jun-11 01:26 ± < 00:01,3.16 | 0.00812,3.15 | 0.00810,9.31,9.27,27.8,7.4 m -   17 m,bK21L02S
(2008 WH96),2021-Jun-11 12:32 ± < 00:01,13.69 | 0.03517,13.69 | 0.03517,12.54,12.53,23,67 m -  150 m,bK08W96H
(2021 KZ2),2021-Jun-11 20:40 ± < 00:01,12.15 | 0.03123,12.09 | 0.03108,6.68,6.67,25.2,24 m -   53 m,bK21K02Z
(2021 MW),2021-Jun-12 02:56 ±    00:02,5.19 | 0.01334,5.14 | 0.01321,15.14,15.13,24.4,35 m -   78 m,bK21M00W
(2021 LC4),2021-Jun-12 03:39 ± < 00:01,1.02 | 0.00263,1.02 | 0.00262,15,14.93,26.5,14 m -   30 m,bK21L04C
(2021 LC5),2021-Jun-12 09:56 ± < 00:01,19.09 | 0.04904,19.05 | 0.04895,8.5,8.49,24.3,36 m -   81 m,bK21L05C
(2021 LZ8),2021-Jun-12 11:10 ± < 00:01,9.75 | 0.02505,9.63 | 0.02475,8.81,8.8,24.6,31 m -   70 m,bK21L08Z
(2021 JM6),2021-Jun-12 20:11 ± < 00:01,10.99 | 0.02825,10.98 | 0.02823,8.34,8.33,24.8,29 m -   64 m,bK21J06M
(2021 LG5),2021-Jun-12 22:19 ± < 00:01,0.41 | 0.00106,0.41 | 0.00106,15.83,15.67,28.7,4.8 m -   11 m,bK21L05G
(2021 LO2),2021-Jun-13 16:16 ± < 00:01,0.58 | 0.00148,0.58 | 0.00148,8.68,8.47,28,6.6 m -   15 m,bK21L02O
(2021 LV7),2021-Jun-14 08:19 ± < 00:01,7.12 | 0.01828,7.09 | 0.01822,19.35,19.34,24.6,31 m -   70 m,bK21L07V
(2021 LN6),2021-Jun-15 05:23 ± < 00:01,16.44 | 0.04224,16.02 | 0.04117,24.94,24.94,23.9,44 m -   97 m,bK21L06N
(2021 MU),2021-Jun-15 09:43 ± < 00:01,0.43 | 0.00111,0.43 | 0.00111,4.68,4.14,27.4,8.8 m -   20 m,bK21M00U
(2021 LV5),2021-Jun-15 22:37 ± < 00:01,11.77 | 0.03025,11.71 | 0.03009,11.06,11.06,26.4,14 m -   31 m,bK21L05V
(2021 LF6),2021-Jun-16 02:24 ± < 00:01,3.66 | 0.00939,3.65 | 0.00939,1.69,1.51,28.5,5.2 m -   12 m,bK21L06F
(2021 LY4),2021-Jun-16 04:26 ± < 00:01,2.32 | 0.00596,2.32 | 0.00595,10.99,10.95,26.1,16 m -   36 m,bK21L04Y
(2021 MX),2021-Jun-16 05:20 ± < 00:01,11.81 | 0.03034,11.80 | 0.03032,32.58,32.58,21.9,110 m -  240 m,bK21M00X
(2021 ME),2021-Jun-17 00:25 ± < 00:01,0.82 | 0.00212,0.82 | 0.00211,5.69,5.47,29,4.3 m -  9.6 m,bK21M00E
(2021 NV8),2021-Jun-17 21:08 ±    00:27,14.03 | 0.03605,13.67 | 0.03513,4.32,4.3,25.4,23 m -   51 m,bK21N08V
(2021 LP6),2021-Jun-18 06:35 ± < 00:01,6.08 | 0.01563,6.05 | 0.01554,8.83,8.81,26.8,11 m -   26 m,bK21L06P
(2021 NR1),2021-Jun-18 09:20 ±    00:13,11.18 | 0.02872,11.06 | 0.02843,8.07,8.05,25.8,19 m -   42 m,bK21N01R
(2021 LL6),2021-Jun-18 11:50 ± < 00:01,4.37 | 0.01124,4.35 | 0.01117,9.89,9.86,26.8,11 m -   26 m,bK21L06L
(2021 LO6),2021-Jun-18 16:05 ± < 00:01,7.65 | 0.01966,7.62 | 0.01958,7.62,7.61,27.6,8.1 m -   18 m,bK21L06O
(2021 LU8),2021-Jun-20 05:42 ± < 00:01,3.27 | 0.00841,3.27 | 0.00840,10.04,10.01,26.8,11 m -   25 m,bK21L08U
(2021 LE4),2021-Jun-21 05:04 ± < 00:01,4.64 | 0.01193,4.63 | 0.01190,13.77,13.75,25.1,25 m -   57 m,bK21L04E
(2021 LK9),2021-Jun-21 05:29 ±    00:04,5.25 | 0.01349,5.14 | 0.01320,11.55,11.53,25.5,21 m -   48 m,bK21L09K
(2021 MF),2021-Jun-22 01:45 ± < 00:01,13.67 | 0.03512,13.47 | 0.03462,12.88,12.88,25.2,24 m -   53 m,bK21M00F
(2021 LV6),2021-Jun-22 14:06 ± < 00:01,5.01 | 0.01288,5.01 | 0.01288,4.35,4.3,26.5,13 m -   30 m,bK21L06V
(2021 LS5),2021-Jun-22 18:46 ± < 00:01,9.22 | 0.02369,9.19 | 0.02360,9.55,9.54,25.7,20 m -   44 m,bK21L05S
(2021 MZ1),2021-Jun-22 21:57 ±    00:03,2.06 | 0.00528,2.05 | 0.00527,8.27,8.21,25.2,24 m -   53 m,bK21M01Z
(2021 MV),2021-Jun-24 02:05 ± < 00:01,5.53 | 0.01421,5.50 | 0.01414,9.77,9.75,26.4,14 m -   31 m,bK21M00V
441987 (2010 NY65),2021-Jun-25 05:09 ± < 00:01,15.54 | 0.03992,15.54 | 0.03992,13.35,13.35,21.4,228 m - 228 m,a0441987
(2021 ML1),2021-Jun-25 21:04 ± < 00:01,7.32 | 0.01881,7.32 | 0.01881,4.85,4.82,24.9,28 m -   63 m,bK21M01L
(2021 LV2),2021-Jun-26 20:35 ± < 00:01,4.62 | 0.01188,4.62 | 0.01188,7.42,7.39,25.3,23 m -   52 m,bK21L02V
(2021 ME1),2021-Jun-27 12:20 ± < 00:01,4.69 | 0.01205,4.69 | 0.01205,8.54,8.51,24,42 m -   94 m,bK21M01E
(2021 MK1),2021-Jun-27 14:49 ± < 00:01,18.58 | 0.04774,18.58 | 0.04774,10.1,10.09,21.3,140 m -  320 m,bK21M01K
(2021 NO1),2021-Jun-28 05:53 ±    00:30,9.37 | 0.02407,9.05 | 0.02326,9.68,9.67,25.1,26 m -   57 m,bK21N01O
(2021 LD6),2021-Jun-28 14:56 ± < 00:01,10.53 | 0.02707,10.53 | 0.02706,2.15,2.1,27.3,9.4 m -   21 m,bK21L06D
(2021 MQ1),2021-Jun-29 04:24 ± < 00:01,16.79 | 0.04315,16.74 | 0.04301,17.97,17.97,23.1,65 m -  150 m,bK21M01Q
(2021 NM),2021-Jun-29 10:42 ±    00:08,4.08 | 0.01048,4.05 | 0.01042,15.45,15.44,26.2,15 m -   34 m,bK21N00M
(2021 NC),2021-Jun-29 19:52 ± < 00:01,17.48 | 0.04491,17.37 | 0.04462,9.28,9.28,25,27 m -   60 m,bK21N00C
(2021 NN1),2021-Jul-01 14:58 ± < 00:01,7.97 | 0.02048,7.94 | 0.02040,7.61,7.59,25.6,21 m -   46 m,bK21N01N
(2010 XJ11),2021-Jul-01 16:35 ± < 00:01,4.05 | 0.01040,4.05 | 0.01040,16.37,16.35,24,43 m -   96 m,bK10X11J
(2021 GM4),2021-Jul-01 23:53 ± < 00:01,12.09 | 0.03107,12.09 | 0.03107,6.29,6.28,21.8,120 m -  260 m,bK21G04M
(2021 NL8),2021-Jul-02 03:00 ±    05:41,7.69 | 0.01976,7.46 | 0.01916,10.12,10.11,26.4,14 m -   31 m,bK21N08L
(2021 MT1),2021-Jul-02 11:11 ± < 00:01,5.20 | 0.01337,5.19 | 0.01333,17.77,17.76,25.8,18 m -   41 m,bK21M01T
(2021 NM1),2021-Jul-02 12:30 ± < 00:01,1.30 | 0.00334,1.30 | 0.00334,7.78,7.68,29.1,4.0 m -  9.0 m,bK21N01M
(2021 LE7),2021-Jul-02 14:36 ± < 00:01,10.82 | 0.02779,10.74 | 0.02759,11.41,11.4,25.3,23 m -   52 m,bK21L07E
(2021 NA),2021-Jul-03 04:57 ± < 00:01,0.17 | 0.00044,0.17 | 0.00044,11.39,10.84,28.6,5.2 m -   12 m,bK21N00A
(2021 LG3),2021-Jul-03 09:24 ± < 00:01,19.36 | 0.04976,19.35 | 0.04973,8.62,8.61,23.2,61 m -  140 m,bK21L03G
(2020 AD1),2021-Jul-04 07:57 ± < 00:01,2.78 | 0.00714,2.78 | 0.00714,4.85,4.77,26.3,15 m -   33 m,bK20A01D
(2021 NR3),2021-Jul-05 12:26 ± < 00:01,2.39 | 0.00614,2.38 | 0.00610,7.91,7.85,25,27 m -   60 m,bK21N03R
(2021 NR2),2021-Jul-05 12:34 ±    00:01,4.04 | 0.01037,4.02 | 0.01033,9.04,9.01,26.9,11 m -   25 m,bK21N02R
(2021 NB8),2021-Jul-06 00:03 ±    00:29,2.42 | 0.00623,2.40 | 0.00616,7.61,7.56,28.1,6.2 m -   14 m,bK21N08B
(2021 NB),2021-Jul-06 03:24 ± < 00:01,3.09 | 0.00795,3.09 | 0.00794,9.29,9.25,26.9,11 m -   24 m,bK21N00B
(2021 NK2),2021-Jul-06 03:32 ±    00:01,15.90 | 0.04085,15.76 | 0.04049,12.96,12.96,24.9,28 m -   63 m,bK21N02K
(2021 MC),2021-Jul-06 06:18 ± < 00:01,2.94 | 0.00757,2.94 | 0.00754,7.15,7.1,25.9,17 m -   39 m,bK21M00C
(2021 NF),2021-Jul-06 14:23 ± < 00:01,8.34 | 0.02143,8.31 | 0.02134,10.38,10.37,24.7,30 m -   67 m,bK21N00F
(2021 NQ1),2021-Jul-07 19:21 ± < 00:01,3.32 | 0.00852,3.31 | 0.00851,7.65,7.61,27.3,9.3 m -   21 m,bK21N01Q
(2021 NU3),2021-Jul-08 07:19 ± < 00:01,0.47 | 0.00120,0.46 | 0.00119,12.01,11.83,28.6,5.0 m -   11 m,bK21N03U
(2021 NG),2021-Jul-08 11:48 ± < 00:01,5.97 | 0.01534,5.95 | 0.01529,8.69,8.67,26.2,15 m -   34 m,bK21N00G
(2021 NE2),2021-Jul-09 00:00 ± < 00:01,6.92 | 0.01779,6.90 | 0.01774,8.84,8.82,26.4,14 m -   32 m,bK21N02E
(2021 NE),2021-Jul-10 15:37 ±    00:04,5.78 | 0.01484,5.75 | 0.01478,9.67,9.65,26.7,12 m -   27 m,bK21N00E
(2021 PO1),2021-Jul-11 02:30 ±    00:18,18.62 | 0.04785,18.29 | 0.04699,8.72,8.72,24.3,37 m -   84 m,bK21P01O
(2021 NN3),2021-Jul-12 05:46 ± < 00:01,18.76 | 0.04820,18.67 | 0.04797,7.94,7.93,25.4,23 m -   50 m,bK21N03N
(2021 NY3),2021-Jul-12 15:55 ± < 00:01,1.93 | 0.00497,1.93 | 0.00496,12.78,12.74,26,17 m -   37 m,bK21N03Y
(2021 NM4),2021-Jul-12 21:32 ± < 00:01,3.81 | 0.00978,3.80 | 0.00976,12.11,12.08,24.9,28 m -   62 m,bK21N04M
(2019 AT6),2021-Jul-13 07:34 ±    04:06,4.22 | 0.01083,3.65 | 0.00938,5.15,5.1,27.6,8.0 m -   18 m,bK19A06T
(2021 OH),2021-Jul-13 10:09 ±    00:07,1.85 | 0.00476,1.84 | 0.00474,8.55,8.48,26.8,12 m -   27 m,bK21O00H
(2021 NM3),2021-Jul-14 21:56 ± < 00:01,4.24 | 0.01089,4.22 | 0.01086,8.48,8.45,26.6,13 m -   28 m,bK21N03M
(2021 PF1),2021-Jul-15 04:39 ± < 00:01,18.65 | 0.04792,18.61 | 0.04782,6.83,6.82,25.9,17 m -   39 m,bK21P01F
(2021 NV5),2021-Jul-15 12:58 ± < 00:01,1.24 | 0.00319,1.24 | 0.00319,10.44,10.36,27,10 m -   23 m,bK21N05V
(2021 NT5),2021-Jul-16 14:06 ± < 00:01,5.26 | 0.01351,5.25 | 0.01349,6.89,6.86,27.1,10 m -   22 m,bK21N05T
(2019 AK8),2021-Jul-16 17:48 ± < 00:01,16.61 | 0.04269,16.61 | 0.04269,11.69,11.68,24.3,37 m -   82 m,bK19A08K
(2019 NB7),2021-Jul-17 19:03 ± 4_20:30,15.15 | 0.03893,1.67 | 0.00429,13.76,13.76,27.4,8.8 m -   20 m,bK19N07B
(2021 OT),2021-Jul-18 14:05 ± < 00:01,3.61 | 0.00928,3.61 | 0.00926,12.07,12.05,26.2,15 m -   34 m,bK21O00T
(2021 PC15),2021-Jul-19 03:22 ±    01:10,18.74 | 0.04814,18.42 | 0.04733,7.73,7.72,25.4,22 m -   50 m,bK21P15C
(2021 PT3),2021-Jul-19 07:29 ±    00:09,12.61 | 0.03240,12.53 | 0.03221,6,5.99,25.7,20 m -   44 m,bK21P03T
(2021 OS),2021-Jul-19 10:27 ± < 00:01,19.36 | 0.04974,19.35 | 0.04973,11.94,11.94,22,100 m -  230 m,bK21O00S
(2021 NX1),2021-Jul-19 23:04 ±    00:01,6.45 | 0.01658,6.41 | 0.01647,10.55,10.54,25.9,18 m -   40 m,bK21N01X
(2021 OP),2021-Jul-20 10:44 ± < 00:01,18.01 | 0.04629,17.88 | 0.04594,23.7,23.7,24.5,34 m -   76 m,bK21O00P
(2021 OV),2021-Jul-20 14:51 ±    01:00,0.51 | 0.00131,0.46 | 0.00119,14.04,13.89,27.8,7.5 m -   17 m,bK21O00V
(2021 NO2),2021-Jul-21 02:25 ± < 00:01,6.94 | 0.01784,6.91 | 0.01776,9.79,9.77,26.2,15 m -   34 m,bK21N02O
(2021 NB6),2021-Jul-21 05:32 ± < 00:01,2.38 | 0.00611,2.37 | 0.00610,5.52,5.44,26.7,12 m -   27 m,bK21N06B
(2021 NO3),2021-Jul-21 05:59 ±    00:01,9.31 | 0.02391,9.21 | 0.02367,20.19,20.19,23.6,51 m -  110 m,bK21N03O
(2014 BP43),2021-Jul-21 09:48 ± 3_01:06,16.89 | 0.04340,4.26 | 0.01095,8.46,8.45,26.5,13 m -   30 m,bK14B43P
(2021 NA8),2021-Jul-21 19:54 ±    00:06,3.76 | 0.00967,3.75 | 0.00964,10.05,10.03,26.2,15 m -   34 m,bK21N08A
(2021 OQ),2021-Jul-21 21:03 ± < 00:01,3.17 | 0.00814,3.15 | 0.00810,9.87,9.83,25.6,20 m -   46 m,bK21O00Q
(2021 PX),2021-Jul-24 19:40 ±    03:34,10.72 | 0.02754,10.44 | 0.02683,9.5,9.49,26.3,15 m -   33 m,bK21P00X
(2021 PC2),2021-Jul-25 12:11 ±    00:07,11.07 | 0.02844,10.95 | 0.02815,10.12,10.11,24.7,31 m -   70 m,bK21P02C
(2008 GO20),2021-Jul-25 17:51 ± < 00:01,11.78 | 0.03026,11.78 | 0.03026,8.23,8.22,22.4,86 m -  190 m,bK08G20O
(2021 OF),2021-Jul-26 16:17 ± < 00:01,11.51 | 0.02959,11.48 | 0.02949,8.84,8.83,24.1,41 m -   91 m,bK21O00F
(2021 OK1),2021-Jul-27 09:27 ± < 00:01,2.21 | 0.00568,2.21 | 0.00568,12.88,12.84,26.9,11 m -   25 m,bK21O01K
(2021 OC1),2021-Jul-27 11:38 ± < 00:01,1.14 | 0.00292,1.13 | 0.00291,10.89,10.8,26.9,11 m -   25 m,bK21O01C
(2021 OJ1),2021-Jul-27 17:35 ± < 00:01,3.42 | 0.00878,3.40 | 0.00873,9.53,9.49,25.1,26 m -   57 m,bK21O01J
(2021 OG1),2021-Jul-27 22:06 ± < 00:01,1.60 | 0.00410,1.60 | 0.00410,8.76,8.68,25,27 m -   60 m,bK21O01G
(2020 BW12),2021-Jul-27 22:36 ±    06:55,16.66 | 0.04281,16.23 | 0.04171,9.79,9.78,26.1,16 m -   36 m,bK20B12W
(2021 PK),2021-Jul-28 13:04 ± < 00:01,7.86 | 0.02019,7.82 | 0.02010,11.54,11.53,26.4,14 m -   31 m,bK21P00K
(2021 PA3),2021-Jul-29 01:40 ±    00:14,11.12 | 0.02856,11.05 | 0.02840,6.11,6.1,27.4,9.0 m -   20 m,bK21P03A
(2021 PA),2021-Jul-29 23:13 ± < 00:01,3.28 | 0.00844,3.27 | 0.00841,15.73,15.71,24.9,28 m -   64 m,bK21P00A
(2021 PZ9),2021-Jul-30 00:15 ±    00:14,7.74 | 0.01990,7.66 | 0.01968,6.28,6.26,26.9,11 m -   24 m,bK21P09Z
(2021 OY),2021-Jul-31 01:39 ± < 00:01,10.19 | 0.02618,10.18 | 0.02616,8.4,8.39,25.7,19 m -   43 m,bK21O00Y
(2019 YM6),2021-Jul-31 05:21 ± < 00:01,17.88 | 0.04594,17.88 | 0.04593,13.47,13.46,22.1,100 m -  230 m,bK19Y06M
(2021 OD1),2021-Jul-31 12:16 ± < 00:01,0.66 | 0.00170,0.66 | 0.00170,7.88,7.68,28.3,5.9 m -   13 m,bK21O01D
(2021 PF7),2021-Jul-31 18:36 ±    00:08,5.10 | 0.01312,5.05 | 0.01299,6.22,6.19,27.8,7.3 m -   16 m,bK21P07F
(2021 OO1),2021-Jul-31 22:44 ± < 00:01,10.09 | 0.02593,10.06 | 0.02585,20.14,20.13,24.4,36 m -   79 m,bK21O01O
(2021 PH2),2021-Aug-01 09:49 ± < 00:01,8.17 | 0.02099,8.17 | 0.02099,18.31,18.3,21.6,130 m -  280 m,bK21P02H
(2021 PF9),2021-Aug-01 17:55 ± < 00:01,7.54 | 0.01938,7.52 | 0.01934,3.17,3.12,28.5,5.3 m -   12 m,bK21P09F
(2021 OE1),2021-Aug-02 09:13 ± < 00:01,6.24 | 0.01603,6.22 | 0.01599,9.78,9.76,26.2,15 m -   34 m,bK21O01E
(2021 PA15),2021-Aug-02 09:27 ± < 00:01,4.63 | 0.01190,4.63 | 0.01189,8.74,8.71,26.2,16 m -   35 m,bK21P15A
(2021 PC),2021-Aug-02 12:42 ± < 00:01,0.43 | 0.00110,0.43 | 0.00110,11.82,11.61,26.7,12 m -   27 m,bK21P00C
(2021 OZ),2021-Aug-02 12:56 ± < 00:01,13.92 | 0.03577,13.90 | 0.03571,9.03,9.03,23.4,56 m -  120 m,bK21O00Z
(2020 PN1),2021-Aug-03 15:12 ± < 00:01,9.59 | 0.02464,9.59 | 0.02463,4.55,4.53,25.5,21 m -   48 m,bK20P01N
(2021 NL4),2021-Aug-03 15:25 ± < 00:01,12.75 | 0.03276,12.68 | 0.03257,10.09,10.08,23.6,52 m -  120 m,bK21N04L
(2020 PP1),2021-Aug-03 23:04 ± < 00:01,12.91 | 0.03318,12.91 | 0.03317,3.55,3.53,26.6,13 m -   28 m,bK20P01P
(2021 OB1),2021-Aug-04 07:23 ± < 00:01,10.20 | 0.02622,10.17 | 0.02613,10.33,10.32,25.8,19 m -   42 m,bK21O01B
(2021 PW4),2021-Aug-04 15:11 ± < 00:01,11.47 | 0.02947,11.46 | 0.02945,6.56,6.55,24.9,28 m -   62 m,bK21P04W
(2021 PY4),2021-Aug-05 10:42 ±    00:04,0.73 | 0.00188,0.73 | 0.00187,17.47,17.39,26.5,13 m -   29 m,bK21P04Y
(2021 OA1),2021-Aug-05 20:31 ± < 00:01,19.01 | 0.04884,18.95 | 0.04869,6.5,6.49,24.3,37 m -   83 m,bK21O01A
(2021 PJ),2021-Aug-06 01:51 ± < 00:01,8.13 | 0.02090,8.12 | 0.02086,7.2,7.18,23.4,55 m -  120 m,bK21P00J
(2021 PV1),2021-Aug-06 16:39 ± < 00:01,4.81 | 0.01236,4.79 | 0.01231,8.09,8.06,27.5,8.3 m -   19 m,bK21P01V
(2021 PK4),2021-Aug-06 20:06 ±    00:02,0.62 | 0.00160,0.62 | 0.00159,12.11,11.97,28.2,6.1 m -   14 m,bK21P04K
